"","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge"
"38","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forest Management","EMF 307 1.0","EMF","EMF 307 1.0 Forest Management",3,"F2","Lecture",1,1,2,NA
"39","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forest Management","EMF 307 1.0","EMF","EMF 307 1.0 Forest Management",3,"F2","Lecture",1,1,2,NA
"40","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",1,"Land Use Planning and Management","EMF 322 1.0","EMF","EMF 322 1.0 Land Use Planning and Management",3,"F3","Lecture",1,1,1,"Prof. Padma Weerakoon"
"41","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",1,"Land Use Planning and Management","EMF 322 1.0","EMF","EMF 322 1.0 Land Use Planning and Management",3,"F3","Lecture",1,1,1,"Mr. B.A. Jayananda"
"42","Forestry and Environmental Science",0,1,0,0,"Wednesday","08:00:00","09:45:00",1,"Land Use Planning and Management","EMF 322 1.0","EMF","EMF 322 1.0 Land Use Planning and Management",3,"F3","Lecture",1,1,1,NA
"43","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Advanced Resource Economics","EMF 359 1.0","EMF","EMF 359 1.0 Advanced Resource Economics",3,"F1","Lecture",0,1,1,"Prof. Prasanthi Gunawardena"
"44","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Advanced Resource Economics","EMF 359 1.0","EMF","EMF 359 1.0 Advanced Resource Economics",3,"F1","Lecture",0,1,1,NA
"45","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Advanced Resource Economics","EMF 359 1.0","EMF","EMF 359 1.0 Advanced Resource Economics",3,"F1","Lecture",0,1,1,NA
"46","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Forest Pathology and Entomology","EMF 318 1.0","EMF","EMF 318 1.0 Forest Pathology and Entomology",3,"F1","Lecture",1,1,1,"Dr. Wathsala Udari"
"47","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Forest Pathology and Entomology","EMF 318 1.0","EMF","EMF 318 1.0 Forest Pathology and Entomology",3,"F1","Lecture",1,1,1,NA
"48","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Forest Pathology and Entomology","EMF 318 1.0","EMF","EMF 318 1.0 Forest Pathology and Entomology",3,"F1","Lecture",1,1,1,NA
"49","Forestry and Environmental Science",0,1,0,0,"Thursday","15:00:00","17:00:00",1,"Agroforestry and Social Forestry","EMF 311 1.0","EMF","EMF 311 1.0 Agroforestry and Social Forestry",3,"F1","Lecture",1,1,1,"Ms. Nileththi Shilpa"
"50","Forestry and Environmental Science",0,1,0,0,"Thursday","15:00:00","17:00:00",1,"Agroforestry and Social Forestry","EMF 311 1.0","EMF","EMF 311 1.0 Agroforestry and Social Forestry",3,"F1","Lecture",1,1,1,NA
"51","Forestry and Environmental Science",0,1,0,0,"Thursday","15:00:00","17:00:00",1,"Agroforestry and Social Forestry","EMF 311 1.0","EMF","EMF 311 1.0 Agroforestry and Social Forestry",3,"F1","Lecture",1,1,1,NA
"52","Forestry and Environmental Science",0,1,0,0,"Monday","11:10:00","12:00:00",1,"Environmental Microbiology","EMF 353 1.0","EMF","EMF 353 1.0 Environmental Microbiology",3,"SP - Forestry","Lecture",0,1,1,"Snr. Prof. M. M. Pathmalal"
"53","Forestry and Environmental Science",0,1,0,0,"Monday","11:10:00","12:00:00",1,"Environmental Microbiology","EMF 353 1.0","EMF","EMF 353 1.0 Environmental Microbiology",3,"SP - Forestry","Lecture",0,1,1,NA
"54","Forestry and Environmental Science",0,1,0,0,"Monday","11:10:00","12:00:00",1,"Environmental Microbiology","EMF 353 1.0","EMF","EMF 353 1.0 Environmental Microbiology",3,"SP - Forestry","Lecture",0,1,1,NA
"55","Forestry and Environmental Science",0,1,0,0,"Tuesday","15:00:00","17:00:00",1,"Research Methodology","EMF 357 1.0","EMF","EMF 357 1.0 Research Methodology",3,"SP - Forestry","Lecture",0,1,1,"Prof. Upul Subasinghe"
"56","Forestry and Environmental Science",0,1,0,0,"Tuesday","15:00:00","17:00:00",1,"Research Methodology","EMF 357 1.0","EMF","EMF 357 1.0 Research Methodology",3,"SP - Forestry","Lecture",0,1,1,NA
"57","Forestry and Environmental Science",0,1,0,0,"Tuesday","15:00:00","17:00:00",1,"Research Methodology","EMF 357 1.0","EMF","EMF 357 1.0 Research Methodology",3,"SP - Forestry","Lecture",0,1,1,NA
"58","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Urban Forestry","EMF 371 1.0","EMF","EMF 371 1.0 Urban Forestry",3,"F1","Lecture",0,1,1,"Dr. Thilak Chandrathilake"
"59","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Urban Forestry","EMF 371 1.0","EMF","EMF 371 1.0 Urban Forestry",3,"F1","Lecture",0,1,1,NA
"60","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Urban Forestry","EMF 371 1.0","EMF","EMF 371 1.0 Urban Forestry",3,"F1","Lecture",0,1,1,NA
"61","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Cleaner Production and Green Technology","EMF 369 1.0","EMF","EMF 369 1.0 Cleaner Production and Green Technology",3,"F1","Lecture",0,1,2,"Dr. Chaamila Pathirana"
"62","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Cleaner Production and Green Technology","EMF 369 1.0","EMF","EMF 369 1.0 Cleaner Production and Green Technology",3,"F1","Lecture",0,1,2,NA
"63","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Cleaner Production and Green Technology","EMF 369 1.0","EMF","EMF 369 1.0 Cleaner Production and Green Technology",3,"F1","Lecture",0,1,2,NA
"64","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Indigenous Knowledge in Natural Resource Management","EMF 361 1.0","EMF","EMF 361 1.0 Indigenous Knowledge in Natural Resource Management",3,"SP - Forestry","Lecture",0,1,1,"Prof. Danister Perera"
"65","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Indigenous Knowledge in Natural Resource Management","EMF 361 1.0","EMF","EMF 361 1.0 Indigenous Knowledge in Natural Resource Management",3,"SP - Forestry","Lecture",0,1,1,NA
"66","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Indigenous Knowledge in Natural Resource Management","EMF 361 1.0","EMF","EMF 361 1.0 Indigenous Knowledge in Natural Resource Management",3,"SP - Forestry","Lecture",0,1,1,NA
"67","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Green Business Development","EMF 362 1.0","EMF","EMF 362 1.0 Green Business Development",3,"SP - Forestry","Lecture",0,1,2,"Snr. Prof. Rohini Samarasinghe"
"68","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Green Business Development","EMF 362 1.0","EMF","EMF 362 1.0 Green Business Development",3,"SP - Forestry","Lecture",0,1,2,NA
"69","Forestry and Environmental Science",0,1,0,0,"Thursday","08:00:00","09:45:00",1,"Green Business Development","EMF 362 1.0","EMF","EMF 362 1.0 Green Business Development",3,"SP - Forestry","Lecture",0,1,2,NA
"70","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",1,"Advanced Silviculture","EMF 358 1.0","EMF","EMF 358 1.0 Advanced Silviculture",3,"F1","Lecture",0,1,1,"Ms. Nileththi Shilpa"
"71","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",1,"Advanced Silviculture","EMF 358 1.0","EMF","EMF 358 1.0 Advanced Silviculture",3,"F1","Lecture",0,1,1,NA
"72","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",1,"Advanced Silviculture","EMF 358 1.0","EMF","EMF 358 1.0 Advanced Silviculture",3,"F1","Lecture",0,1,1,NA
"73","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forestry for Rural Development","EMF 459 1.0","EMF","EMF 459 1.0 Forestry for Rural Development",4,"SP - Forestry","Lecture",0,1,1,"Ms. Nileththi Shilpa"
"74","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forestry for Rural Development","EMF 459 1.0","EMF","EMF 459 1.0 Forestry for Rural Development",4,"SP - Forestry","Lecture",0,1,1,NA
"75","Forestry and Environmental Science",0,1,0,0,"Tuesday","13:00:00","15:00:00",1,"Forestry for Rural Development","EMF 459 1.0","EMF","EMF 459 1.0 Forestry for Rural Development",4,"SP - Forestry","Lecture",0,1,1,NA
"76","Forestry and Environmental Science",0,1,0,0,"Wednesday","10:15:00","12:00:00",1,"Wood Based Composites","EMF 458 1.0","EMF","EMF 458 1.0 Wood Based Composites",4,"SP - Forestry","Lecture",0,1,1,"Prof. Hiran Amarasekera"
"77","Forestry and Environmental Science",0,1,0,0,"Wednesday","10:15:00","12:00:00",1,"Wood Based Composites","EMF 458 1.0","EMF","EMF 458 1.0 Wood Based Composites",4,"SP - Forestry","Lecture",0,1,1,NA
"78","Forestry and Environmental Science",0,1,0,0,"Wednesday","10:15:00","12:00:00",1,"Wood Based Composites","EMF 458 1.0","EMF","EMF 458 1.0 Wood Based Composites",4,"SP - Forestry","Lecture",0,1,1,NA
"79","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Land Reclamation and Soil Remediation","EMF 472 1.0","EMF","EMF 472 1.0 Land Reclamation and Soil Remediation",4,"SP - Forestry","Lecture",0,1,1,"Dr. Daham Jayawardana"
"80","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Land Reclamation and Soil Remediation","EMF 472 1.0","EMF","EMF 472 1.0 Land Reclamation and Soil Remediation",4,"SP - Forestry","Lecture",0,1,1,NA
"81","Forestry and Environmental Science",0,1,0,0,"Wednesday","13:00:00","15:00:00",1,"Land Reclamation and Soil Remediation","EMF 472 1.0","EMF","EMF 472 1.0 Land Reclamation and Soil Remediation",4,"SP - Forestry","Lecture",0,1,1,NA
"82","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",2,"Assignment on Forest Management Plan Preparation","EMF 454 2.0","EMF","EMF 454 2.0 Assignment on Forest Management Plan Preparation",4,"SP - Forestry","Lecture",0,1,1,"Prof. Upul Subasinghe"
"83","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",2,"Assignment on Forest Management Plan Preparation","EMF 454 2.0","EMF","EMF 454 2.0 Assignment on Forest Management Plan Preparation",4,"SP - Forestry","Lecture",0,1,1,NA
"84","Forestry and Environmental Science",0,1,0,0,"Thursday","10:15:00","12:00:00",2,"Assignment on Forest Management Plan Preparation","EMF 454 2.0","EMF","EMF 454 2.0 Assignment on Forest Management Plan Preparation",4,"SP - Forestry","Lecture",0,1,1,NA
"85","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Energy and Environment","EMF 471 1.0","EMF","EMF 471 1.0 Energy and Environment",4,"SP - Forestry","Lecture",0,1,1,"Dr. Daham Jayawardana"
"86","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Energy and Environment","EMF 471 1.0","EMF","EMF 471 1.0 Energy and Environment",4,"SP - Forestry","Lecture",0,1,1,NA
"87","Forestry and Environmental Science",0,1,0,0,"Thursday","13:00:00","15:00:00",1,"Energy and Environment","EMF 471 1.0","EMF","EMF 471 1.0 Energy and Environment",4,"SP - Forestry","Lecture",0,1,1,NA
"88","Forestry and Environmental Science",1,0,0,0,"Wednesday","10:15:00","12:00:00",2,"Environmental Economics","ECN 104 2.0","ECN","ECN 104 2.0 Environmental Economics",1,"BLT","Lecture",1,0,1,"Prof. B W R Damayanthi"
"89","Forestry and Environmental Science",1,0,0,0,"Wednesday","10:15:00","12:00:00",2,"Environmental Economics","ECN 104 2.0","ECN","ECN 104 2.0 Environmental Economics",1,"BLT","Lecture",1,0,1,"Dr. J M M Udugama"
"90","Forestry and Environmental Science",1,0,0,0,"Wednesday","10:15:00","12:00:00",2,"Environmental Economics","ECN 104 2.0","ECN","ECN 104 2.0 Environmental Economics",1,"BLT","Lecture",1,0,1,NA
"91","Forestry and Environmental Science",1,0,0,0,"Thursday","08:00:00","09:45:00",3,"Principles of Macroeconomics","ECN 103 3.0","ECN","ECN 103 3.0 Principles of Macroeconomics",1,"F3","Lecture",1,0,1,"Mr. Anura Jayasinghe"
"92","Forestry and Environmental Science",1,0,0,0,"Thursday","08:00:00","09:45:00",3,"Principles of Macroeconomics","ECN 103 3.0","ECN","ECN 103 3.0 Principles of Macroeconomics",1,"F3","Lecture",1,0,1,NA
"93","Forestry and Environmental Science",1,0,0,0,"Thursday","08:00:00","09:45:00",3,"Principles of Macroeconomics","ECN 103 3.0","ECN","ECN 103 3.0 Principles of Macroeconomics",1,"F3","Lecture",1,0,1,NA
"94","Forestry and Environmental Science",1,0,0,0,"Tuesday","10:15:00","12:00:00",3,"Intermediate Macroeconomics","ECN 203 3.0","ECN","ECN 203 3.0 Intermediate Macroeconomics",2,"F1","Lecture",1,0,1,"Prof. B W R Damayanthi"
"95","Forestry and Environmental Science",1,0,0,0,"Tuesday","10:15:00","12:00:00",3,"Intermediate Macroeconomics","ECN 203 3.0","ECN","ECN 203 3.0 Intermediate Macroeconomics",2,"F1","Lecture",1,0,1,NA
"96","Forestry and Environmental Science",1,0,0,0,"Tuesday","10:15:00","12:00:00",3,"Intermediate Macroeconomics","ECN 203 3.0","ECN","ECN 203 3.0 Intermediate Macroeconomics",2,"F1","Lecture",1,0,1,NA
"97","Forestry and Environmental Science",1,0,0,0,"Wednesday","08:00:00","09:45:00",3,"Intermediate Macroeconomics","ECN 203 3.1","ECN","ECN 203 3.1 Intermediate Macroeconomics",2,"F2","Lecture",1,0,1,"Prof. B W R Damayanthi"
"98","Forestry and Environmental Science",1,0,0,0,"Wednesday","08:00:00","09:45:00",3,"Intermediate Macroeconomics","ECN 203 3.1","ECN","ECN 203 3.1 Intermediate Macroeconomics",2,"F2","Lecture",1,0,1,NA
"99","Forestry and Environmental Science",1,0,0,0,"Wednesday","08:00:00","09:45:00",3,"Intermediate Macroeconomics","ECN 203 3.1","ECN","ECN 203 3.1 Intermediate Macroeconomics",2,"F2","Lecture",1,0,1,NA
"100","Forestry and Environmental Science",1,0,0,0,"Thursday","13:00:00","15:00:00",3,"Advanced Resource Economics","ECN 204 3.0","ECN","ECN 204 3.0 Advanced Resource Economics",2,"F3","Lecture",1,0,1,"Prof. U A D P Gunawardena"
