Index,Department,Physical,Bio,Food,Sports.Science,Day,Starting.Time,Ending.Time,Number.of.Credits,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,General,Special,Semester.Half,Lecturer.in.charge,Lecture.Time
1,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T08:55:00Z,1970-01-01T15:00:00Z,NA,Practicals,EMF P,EMF,EMF P Practicals,2,P,Practicals,1,0,1,NA,08:55-15:00
4,Forestry and Environmental Science,0,1,0,0,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,2,Wood Science and Forest Based Industries,EMF 216 2.0,EMF,EMF 216 2.0 Wood Science and Forest Based Industries,2,F1,Lecture,1,0,1,Prof. Hiran Amarasekera,08:00-09:45
7,Forestry and Environmental Science,0,1,0,0,Friday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,1,Principles in Hydrology and Climatology,EMF 222 1.0,EMF,EMF 222 1.0 Principles in Hydrology and Climatology,2,F1,Lecture,1,0,1,Dr. Thilak Chandrathilake,11:10-12:00
10,Forestry and Environmental Science,0,1,0,0,Friday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,1,Tree Diversity and Systematics,EMF 218 1.0,EMF,EMF 218 1.0 Tree Diversity and Systematics,2,F1,Lecture,1,0,1,Snr. Prof. BMP Singhakumara,13:00-14:00
13,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Environmental Chemistry,EMF 102 1.0,EMF,EMF 102 1.0 Environmental Chemistry,1,F1,Lecture,1,0,1,Dr. Chaamila Pathirana,08:00-09:45
16,Forestry and Environmental Science,0,1,0,0,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,1,Forest Biology,EMF 108 1.0,EMF,EMF 108 1.0 Forest Biology,1,F1,Lecture,1,0,2,Prof. Hiran Amarasekera,08:00-09:45
19,Forestry and Environmental Science,0,1,0,0,Friday,1970-01-01T08:55:00Z,1970-01-01T16:00:00Z,NA,Practicals,EMF P,EMF,EMF P Practicals,1,P,Practicals,1,0,1,NA,08:55-16:00
22,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Principles of Wildlife Ecology,EMF 117 1.0,EMF,EMF 117 1.0 Principles of Wildlife Ecology,1,F1,Lecture,1,0,1,Prof. Priyan Perera,13:00-15:00
25,Forestry and Environmental Science,0,1,0,0,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,General Geology and Soil Science,EMF 114 1.0,EMF,EMF 114 1.0 General Geology and Soil Science,1,F1,Lecture,1,0,2,Dr. Daham Jayawardana,13:00-15:00
28,Forestry and Environmental Science,0,1,0,0,Monday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,1,Ecotourism Planning and Management,EMF 330 1.0,EMF,EMF 330 1.0 Ecotourism Planning and Management,3,F1,Lecture,1,1,1,Prof. Priyan Perera,13:00-15:00
