Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Botany,0,1,0,0,Friday,08:55,09:45,NA,Tutorial,PBL T,PBL,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Friday,08:55,09:45,NA,Tutorial,MBL T,MBL,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Friday,13:00,14:00,NA,Tutorial,PBT T,PBT,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Friday,13:00,14:00,NA,Tutorial,PBL T,PBL,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Friday,13:00,14:00,NA,Tutorial,MBL T,MBL,2,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Monday,08:00,09:45,2,Industrial Biotechnology,PBT 325 2.0,PBT,3,A1,Dr. Kasun Thambugala,Lecture,1,0,1
Botany,0,1,0,0,Monday,08:00,08:50,1,Economic Botany,PBL 321 1.0 ,PBL,3,B2,Mrs. C.B.Wijerathna,Lecture,1,0,1
Botany,0,1,0,0,Monday,08:55,09:45,1,Plant Resources ,PBL 325 1.0 ,PBL,3,B2,Mrs. C.B.Wijerathna,Lecture,1,0,1
Botany,0,1,0,0,Monday,14:00,16:00,1,Industrial Management ,MBL 326 1.0 ,MBL,3,B1,Mrs. M.W.Kalyani,Lecture,1,0,1
Botany,0,1,0,0,Monday,14:00,16:00,1,Food & Dairy Microbiology,MBL 323 1.0 ,MBL,3,B1,Ms. H.T.Mandakini ,Lecture,1,0,2
Botany,0,1,0,0,Tuesday,15:00,16:00,1,Medical Biotechnology,PBT 324.1.0,PBT,3,B1,Mrs. W.A.S.Wijendra,Lecture,1,0,1
Botany,0,1,0,0,Tuesday,15:00,16:00,1,Applied Microbiology,PBL 326 1.0,PBL,3,B3,Ms. H.T.Mandakini ,Lecture,1,0,1
Botany,0,1,0,0,Tuesday,16:00,17:00,1,Bioinformatics & Molecular Modeling,PBT 327 1.0,PBT,3,B1,Dr. I. U. Kariyawasam,Lecture,1,0,1
Botany,0,1,0,0,Wednesday,16:00,17:00,NA,Tutorial,PBL T,PBL,3,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Thursday,13:00,14:00,1,Medical Microbiology,MBL 324 1.0,MBL,3,B1,Dr. Janani Kottahachchi,Lecture,1,0,1
Botany,0,1,0,0,Thursday,14:00,15:00,1,Bioinformatics & Molecular Modeling,MBL 327 1.0,MBL,3,B1,Dr. I. U. Kariyawasam,Lecture,1,0,1
Botany,0,1,0,0,Friday,08:00,08:50,NA,Tutorial,PBT T,PBT,3,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Friday,08:00,08:50,NA,Tutorial,MBL T,MBL,3,T,NA,Tutorial,1,0,1
Botany,0,1,0,0,Saturday,13:00,16:00,NA,Practicals,PBL P,PBL,3,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Sunday,13:00,16:00,NA,Practicals,PBL P,PBL,3,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Monday,08:55,12:00,NA,Practicals,MBL P,MBL,3,P,NA,Practicals,1,0,1
Botany,0,1,0,0,Monday,10:15,11:05,1,Plant Synthetic Biology,PBT 393 1.0 ,PBT,3,B2,Dr. R.Wimalasekara,Lecture,0,1,1
Botany,0,1,0,0,Monday,11:10,12:00,1,Microbial Biochemistr,MBL 383 1.0,MBL,3,B2,Dr. R.Wimalasekara,Lecture,0,1,1
Botany,0,1,0,0,Monday,16:00,17:00,1,Advanced Microbial Genetics,PBT 386 1.0,PBT,3,B2,Dr. Anusha Ekanayaka,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,13:00,15:00,2,Microbes in Pest Management,MBL 382 2.0,MBL,3,B3,Dr. Wathsala Udari,Lecture,0,1,1
Botany,0,1,0,0,Tuesday,17:00,17:45,1,Advanced Genetics,PBL 386 1.0,PBL,3,B3,Dr. I. U. Kariyawasam,Lecture,0,1,1
Botany,0,1,0,0,Wednesday,08:00,08:50,1,Applications in Nanobiology,PBT 394 1.0,PBT,3,B3,Mrs. C.B.Wijerathna,Lecture,0,1,1
