Department,Physical,Bio,Food,Sports Science ,Day,Starting Time,Ending Time,Number of Credits,Course Title,Course Code,Subject Code,Academic Year,Location,Lecturer in Charge,Lecture Type,General,Special,Semester Half
Sports Science,0,0,0,1,Friday,13:00,14:00,2,Coaching Ed.,SSM 481 2.0,SSM,4,NFC6,Mrs. A.M.G.C.P. Adikari,Lecture,0,1,1
Sports Science,0,0,0,1,Saturday,08:00,12:00,3,FMSA of Ball Games Volleyball,SSM 190 3.0 ,SSM,1,O,Mr. Udayantha Shaminda - Mr. L.H.M.P. De Silva,Lecture,0,1,1
Sports Science,0,0,0,1,Saturday,13:00,17:00,1,Introduction to IT,SSM 110 1.0 ,SSM,1,O,Mr. P.H.A.B. Shantha - Mr. Chameera Ginige,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,10:15,12:00,2,Techniques in Molecular Biology and Genetic Engineering,GMB 105 2.0,GMB,1,B3,Dr. Kasun Thambugala - Dr. Dilakshini Dayananda,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Tuesday,10:15,12:00,2,Fundamentals of Molecular genetics,GMB 103 2.0,GMB,1,B3,Dr. Hiruni Harischandra,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Wednesday,13:00,16:00,NA,Practical,GMB P,GMB,1,P,NA,Practicals,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,10:15,11:05,1,Genomics and Proteomics,GMB 203 1.0,GMB,2,F2,Dr. Samawansha Thennakoon,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,11:10,12:00,1,Gene Expression and Regulation,GMB 205 1.0,GMB,2,F2,Dr. Pamoda Jayathunga,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Wednesday,08:00,09:45,2,Microbes and Microbial Genetics,GMB 204 2.0,GMB,2,B3,Dr. Kasun Thambugala,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Friday,08:55,12:00,NA,Practical,GMB P,GMB,2,P,NA,Practicals,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,08:00,08:50,2,Immunology,GMB 302 2.0,GMB,3,NA,Dr. Varuni Gunathilake,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,08:55,12:00,1,Human Genetics and Counseling,GMB 318 1.0,GMB,3,A1,Dr. Gayani Galhena,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,13:00,15:00,1,Advanced  Laboratory  Techniques,GMB 337 1.0,GMB,3,C2,Dr. Pamoda Jayathunga,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Tuesday,08:55,12:00,NA,Practical,GMB P,GMB,3,P,NA,Practicals,1,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Tuesday,15:00,17:00,2,Research Methodology,GMB 320 2.0,GMB,3,B3,Prof. Upul Subasinghe,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Wednesday,08:00,09:45,1,Molecular Modeling and Computer Biochemistry,GMB 321 1.0,GMB,3,A1,Dr. Ranga Jayakody,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Wednesday,10:15,12:00,2,Protein Engineering,GMB 323 2.0,GMB,3,B3,Dr. Pamoda Jayathunga,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Thursday,08:00,09:45,1,Epigenetics,GMB 342 1.0,GMB,3,NA,Dr. Chanika Jayasinghe,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Thursday,13:00,14:00,2,RNA Biology,GMB 322 2.0,GMB,3,F2,Dr. Dilantha Gunawardena - Dr. Dilakshini Dayananda,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Friday,13:00,15:00,2,Molecular Entomology,GMB 326 2.0,GMB,3,B3,Prof. Nissanka de Silva,Lecture,1,0,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,08:00,08:50,2,Molecular Immunology,GMB 404 2.0 ,GMB,4,NA,Dr. Varuni Gunathilake,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Monday,13:00,16:00,2,Molecular Evolution,GMB 416 2.0,GMB,4,B3,Dr. Sachini Fernando,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Tuesday,10:15,12:00,2,Systems Biology,GMB 417 2.0,GMB,4,A1,Dr. Samawansha Thennakoon,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Tuesday,13:00,15:00,2,Neurobiology,GMB 408 2.0,GMB,4,B2,Mr. WHMDNB Wijekoon - Mr. Buddika Lakmal Gonawala,Lecture,0,1,1
Genetics and Molecular Biology Unit,0,1,0,0,Saturday,08:55,11:05,2,Molecular Basis of Diseases,GMB 414 2.0 ,GMB,4,B3,Prof. Dinithi Peiris,Lecture,0,1,1
Computer Science ,1,0,0,0,Monday,10:15,12:00,2,Software Engineering II,ICT 131 2.0,ICT,1,NFC6,Ms. MKA Ariyaratne,Lecture,1,0,1
Computer Science ,1,0,0,0,Tuesday,08:00,09:45,1,Computer Programming - Laboratory II,ICT 130 1.0,ICT,1,BLC,Dr. S Tissera - Ms. FS Sourjah,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,10:15,12:00,NA,Practical,ICT P  ,ICT,1,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Wednesday,13:00,15:00,NA,Tutorial,ICT T,ICT,1,T,NA,Tutorial,1,0,1
Computer Science ,1,0,0,0,Thursday,13:00,15:00,2,Object Oriented Programming,ICT 129 2.0,ICT,1,NFC3,Dr. S Tissera,Lecture,1,0,1
Computer Science ,1,0,0,0,Monday,14:00,16:00,NA,Practical,ICT P  ,ICT,2,P,NA,Practicals,1,0,1
Computer Science ,1,0,0,0,Tuesday,15:00,17:00,1.5,Visual Computing,ICT 231 1.5 ,ICT,2,NFC4,Mr. AMRR Bandara,Lecture,1,0,1
Computer Science ,1,0,0,0,Wednesday,08:00,09:45,1.5,Computer Networks and System Administration,ICT 230 1.5 ,ICT,2,PLT,Mr. AMRR Bandara,Lecture,1,0,1
Computer Science ,1,0,0,0,Friday,10:15,12:00,2,User Interface Design and Implementation,ICT 229 2.0,ICT,2,NFC3,Dr. PRS De Silva,Lecture,1,0,1
Computer Science ,1,0,0,0,Monday,14:00,16:00,2,Software Architecture and Design,ICT 330 2.0,ICT,3,NFC3,Dr. EATA Edirisuriya,Lecture,1,0,1
Computer Science ,1,0,0,0,Tuesday,10:15,12:00,1.5,Data Mining and Data Warehousing,ICT 333 1.5,ICT,3,NFC3,Dr. TMKK Jinasena,Lecture,1,0,1
Computer Science ,1,0,0,0,Thursday,10:15,12:00,1.5,Software Quality Assurance,ICT 331 1.5,ICT,3,NFC3,Ms. FS Sourjah,Lecture,1,0,1
Computer Science ,1,0,0,0,Thursday,13:00,15:00,1.5,Human Computer Interaction,ICT 332 1.5,ICT,3,LCS2,Dr. PRS De Silva,Lecture,1,0,1
Mathematics,1,1,0,0,Monday ,10:15,12:00,2,Principles of Macro Economics,MAN 126 2.0,MAN,1,C1,Dr. Kamal Gnanaweera,Lecture,1,0,1
Mathematics,1,1,0,0,Thursday,13:00,15:00,2,Introduction to Entrepreneurship,MAN 129 2.0,MAN,1,PLT,Dr. Kamal Gnanaweera,Lecture,1,0,1
Mathematics,1,1,0,0,Friday,08:00,08:50,1,Introduction to Statistics,MAN 128 1.0,MAN,1,PLT,Mr. Chammika De Mel,Lecture,1,0,1
Mathematics,1,1,0,0,Monday ,10:15,12:00,2,Organizational Behaviour,MAN 226 2.0,MAN,2,PLT,Dr. Anuradha Iddagoda,Lecture,1,0,1
Mathematics,1,1,0,0,Monday ,16:00,17:45,1,Business Law,MAN 228 1.0,MAN,2,NFC3,NA,Lecture,1,0,1
Mathematics,1,1,0,0,Friday,10:15,12:00,2,Statistical Quality Control and Industrial Statistics,MAN 227 2.0,MAN,2,A1,Dr. Anoma Edirimanna,Lecture,1,0,1
Mathematics,1,1,0,0,Tuesday,10:15,12:00,2,Micro Computers and their Applications,MAN 327 2.0,MAN,3,C1,Dr. Mahesh Fernando,Lecture,1,0,1
Mathematics,1,1,0,0,Wednesday,13:00,14:00,1,Strategic Management,MAN 329 1.0,MAN,3,PLT,Dr. Anuradha Iddagoda,Lecture,1,0,1
Mathematics,1,1,0,0,Wednesday,15:00,16:00,1,Production Control,MAN 326 1.0,MAN,3,PLT,Ms. Chathurika Jayasuriya,Lecture,1,0,1
Mathematics,1,1,0,0,Thursday,10:15,12:00,2,Research Methodology,MAN 328 2.0,MAN,3,C1,Dr. Kamal Gnanaweera,Lecture,1,0,1
Statistics,1,0,0,0,Monday,10:15,12:00,2,Probability and Distribution Theory II,STA 123 2.0,STA,1,NFC4,Prof. B.M.S.G. Banneheka,Lecture,1,0,1
Statistics,1,0,0,0,Monday,15:00,17:00,2,Data Analysis I,STA 124 2.0,STA,1,Stat Lab,Dr. K.M.P. Perera,Lecture,1,0,1
Statistics,1,0,0,0,Tuesday,13:00,15:00,2,Data Analysis I,STA 124 2.0,STA,1,LCS1,Dr. K.M.P. Perera,Lecture,1,0,1
Statistics,1,0,0,0,Thursday,08:00,09:45,2,Data Analysis I,STA 124 2.0,STA,1,Stat Lab,Dr. K.M.P. Perera,Lecture,1,0,1
Statistics,1,0,0,0,Friday,08:00,09:45,1,Statistical Communication,STA 125 1.0 ,STA,1,NFC4,Dr. H.A. Pathberiya,Lecture,1,0,1
Statistics,1,0,0,0,Tuesday,08:00,09:45,2,Regression Analysis,STA 224 2.0,STA,2,NFC4,Dr. N. Withanage,Lecture,1,0,1
Statistics,1,0,0,0,Tuesday,15:00,17:00,1,Data Analysis II,STA 226 1.0,STA,2,LCS1,Mrs. K.A.D.B.S. Karunasena,Lecture,1,0,1
Statistics,1,0,0,0,Wednesday,08:00,09:45,1,Data Analysis II,STA 226 1.0,STA,2,LCS1,Mrs. K.A.D.B.S. Karunasena,Lecture,1,0,1
Statistics,1,0,0,0,Friday,10:15,12:00,2,Design and Analysis of Experiments,STA 225 2.0,STA,2,NFC4,Dr. P. Liyanaarachchi,Lecture,1,0,1
Statistics,1,0,0,0,Monday,08:00,09:45,2,Data analysis and Preparation of Results,STA 330 2.0,STA,3,LCS1,Dr. C. Wickramarachchi,Lecture,1,1,1
Statistics,1,0,0,0,Monday,16:00,17:45,2,Data analysis and Preparation of Results,STA 330 2.0,STA,3,LCS1,Dr. C. Wickramarachchi,Lecture,1,1,1
Statistics,1,0,0,0,Monday,10:15,12:00,2,Actuarial Statistics,STA 323 2.0,STA,3,Stat Lab,Dr. N. Devpura,Lecture,0,1,1
Statistics,1,0,0,0,Monday,13:00,15:00,2,Statistical Data Mining,STA 476 2.0,STA,3,Stat Lab,Dr. C. Wickramarachchi,Lecture,0,1,1
Statistics,1,0,0,0,Tuesday,10:15,12:00,2,Compilation of Official Statistics,STA 332 2.0 ,STA,3,Online,Dr. P. Hapuarachchi,Lecture,1,1,1
Statistics,1,0,0,0,Tuesday,13:00,15:00,2,Stochastic Processes,STA 331 2.0,STA,3,Stat Lab,Dr. T. Talagala,Lecture,0,1,1
Statistics,1,0,0,0,Wednesday,08:00,09:45,1,Decision Theory,STA 313 1.0,STA,3,NFC4,Dr. R. Lokupitiya,Lecture,1,0,1
Statistics,1,0,0,0,Wednesday,10:15,12:00,2,Multivariate Statistics II,STA 327 2.0,STA,3,Stat Lab,Dr. R. Lokupitiya,Lecture,0,1,1
Statistics,1,0,0,0,Wednesday,13:00,15:00,2,Generalized Linear and Non Linear Models,STA 471 2.0,STA,3,Stat Lab,Dr. N. Withanage,Lecture,0,1,1
Statistics,1,0,0,0,Thursday,08:00,09:45,2,Advanced Statistical Inference,STA 329 2.0,STA,3,Stat Lab2,Prof. B.M.S.G. Banneheka,Lecture,0,1,1
Statistics,1,0,0,0,Thursday,10:15,12:00,2,Statistical Quality Assurance,STA 321 2.0,STA,3,Stat Lab2,Dr. R. Silva,Lecture,1,1,1
Statistics,1,0,0,0,Thursday,13:00,15:00,2,Medical Statistics,STA 322 2.0,STA,3,NFC4,Dr. C. Jayasinghe,Lecture,1,1,1
Statistics,1,0,0,0,Friday,10:15,12:00,2,Essential Skills in Statistics,STA 315 2.0,STA,3,NFC4,Mr. P. Dias,Lecture,1,1,1
Statistics,1,0,0,0,Tuesday,10:15,12:00,2,Bayesian Inference,STA 472 2.0,STA,4,Stat Lab,Dr. R. Silva,Lecture,0,1,1
Statistics,1,0,0,0,Wednesday,10:15,12:00,2,Survival Analysis,STA 486 2.0,STA,4,Stat Lab,Dr. C. Jayasinghe,Lecture,0,1,1
Statistics,1,0,0,0,Thursday,08:00,09:45,2,Spatial Statistics,STA 477 2.0,STA,4,Stat Lab,Dr. R. Lokupitiya,Lecture,0,1,1
Statistics,1,0,0,0,Thursday,10:15,12:00,2,Econometric Models,STA 475 2.0,STA,4,Stat Lab2,Dr. N. Devpura,Lecture,0,1,1
Statistics,1,0,0,0,Friday,13:00,15:00,2,Statistical Consultancy,STA 474 2.0,STA,4,Stat Lab,Dr. T. Talagala,Lecture,0,1,1
Statistics,1,0,0,0,Friday,10:15,12:00,2,Advanced Time Series Analysis,STA 478 2.0,STA,4,Stat Lab,Dr. H.A. Pathberiya,Lecture,0,1,1
Statistics,1,0,0,0,Tuesday,13:00,15:00,2,Seminar,STA 481 2.0,STA,4,Stat Lab2,Dr. R. Silva,Lecture,0,1,1
Statistics,1,1,0,0,Wednesday,16:00,17:45,2,Introductory Statistics,STA 349 2.0 ,STA,3,NFC4,Dr. C. Wickramarachchi,Lecture,1,1,1
Zoology,0,1,0,0,Monday,08:00,12:00,NA,Practical,ZOO P,ZOO,1,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Monday,13:00,16:00,NA,Practical,ZOO P,ZOO,1,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Tuesday,13:00,14:00,1,Ecology,ZOO 121 1.0,ZOO,1,A1,Prof. R. R. M. K. P. Ranatunga,Lecture,1,0,1
Zoology,0,1,0,0,Tuesday,14:00,15:00,1,Insect Biology,ZOO 130 1.0,ZOO,1,A1,Dr. A. G. W. U. Perera,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,11:10,12:00,1,Comparative Functional Anatomy,ZOO 124 1.0,ZOO,1,A1,Dr. K. N. M. Wijayathilaka,Lecture,1,0,1
Zoology,0,1,0,0,Thursday,10:15,11:05,1,Fundamentals of Environmental Science,ZOO 129 1.0,ZOO,1,A1,Snr. Prof. M. M. Pathmalal,Lecture,1,0,1
Zoology,0,1,0,0,Friday,08:00,08:50,NA,Tutorials,ZOO T,ZOO,1,T,NA,Tutorial,1,0,1
Zoology,0,1,0,0,Tuesday,10:15,12:00,NA,Practical,ZOO P,ZOO,2,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Tuesday,13:00,16:00,NA,Practical,ZOO P,ZOO,2,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Thursday,08:00,08:50,1,Biodiversity & Conservation,ZOO 224 1.0,ZOO,2,A1,Prof. W. A. D. Mahaulpatha - Dr. E. G. D. P. Jayasekara,Lecture,1,0,1
Zoology,0,1,0,0,Thursday,08:55,09:45,1,Developmental Zoology,ZOO 228 1.0,ZOO,2,A1,Prof. L. D. C. Peiris,Lecture,1,0,1
Zoology,0,1,0,0,Friday,10:15,12:00,2,Genetics and Molecular Biology,ZOO 231 2.0,ZOO,2,A1,Dr. H. S. D. Fernando,Lecture,1,0,1
Zoology,0,1,0,0,Monday,08:00,08:50,1,Integrated Watershed Management,ZOO 347 1.0,ZOO,3,A1,Dr. S. A. M. A. I. K. Senanayake,Lecture,1,1,1
Zoology,0,1,0,0,Monday,08:55,09:45,1,Environmental Physiology,ZOO 332 1.0,ZOO,3,A1,Dr. F. S. Idroos,Lecture,1,1,1
Zoology,0,1,0,0,Monday,10:15,11:05,1,Wildlife Management,ZOO 345 1.0,ZOO,3,A1,Prof. W. A. D. Mahaulpatha,Lecture,1,1,1
Zoology,0,1,0,0,Monday,11:10,12:00,1,Fundamentals of Microbial Ecology,ZOO 344 1.0,ZOO,3,A1,Snr. Prof. M. M. Pathmalal,Lecture,1,1,1
Zoology,0,1,0,0,Monday,15:00,16:00,1,Fundamentals of Immunology,ZOO 343 1.0,ZOO,3,A1,Dr. K. V. K. Gunathilake,Lecture,1,1,1
Zoology,0,1,0,0,Tuesday,08:55,09:45,1,Toxicology of Insecticides,ZOO 346 1.0,ZOO,3,A1,Dr. A. G. W. U. Perera,Lecture,1,1,1
Zoology,0,1,0,0,Tuesday,13:00,15:00,2,Nutrition,ZOO 327 2.0,ZOO,3,NFC3,Dr. K. V. K. Gunathilake,Lecture,1,1,1
Zoology,0,1,0,0,Friday,08:55,12:00,NA,Practical,ZOO P,ZOO,3,P,NA,Practicals,1,1,1
Zoology,0,1,0,0,Friday,13:00,16:00,NA,Practical,ZOO P,ZOO,3,P,NA,Practicals,1,1,1
Zoology,0,1,0,0,Friday,13:00,15:00,2,Molecular Systematics,ZOO 426 2.0,ZOO,4,SLH - Zoology,Snr. Prof. B. G. D. N. K. De Silva,Lecture,0,1,1
Zoology,0,1,0,0,NA,NA,NA,2,Applications of Microbial Ecology,ZOO 427 2.0,ZOO,4,SLH - Zoology,Snr. Prof. M. M. Pathmalal,Lecture,0,1,1
Zoology,0,1,0,0,Thursday,10:15,12:00,2,Tetrapod Biology,ZOO 428 2.0,ZOO,4,SLH - Zoology,Prof. W. A. D. Mahaulpatha,Lecture,0,1,1
Zoology,0,1,0,0,Saturday,08:55,12:00,2,Molecular Principles of Human Diseases ,ZOO 414 2.0,ZOO,4,SLH - Zoology,Prof. L. D. C. Peiris,Lecture,0,1,1
Zoology,0,1,0,0,Tuesday,10:15,12:00,2,Bio Intensive Integrated Pest Management,ZOO 425 2.0,ZOO,4,SLH - Zoology,Dr. A. G. W. U. Perera,Lecture,0,1,1
Zoology,0,1,0,0,NA,NA,NA,2,Mosquito Biology,ZOO 429 2.0,ZOO,4,SLH - Zoology,Dr. H. S. D. Fernando,Lecture,0,1,1
Zoology,0,1,0,0,Monday,14:00,15:00,1,Water Chemistry,ARM 110 1.0,ARM,1,A1,Prof. S.D.M. Chinthaka,Lecture,1,0,1
Zoology,0,1,0,0,Tuesday,11:10,12:00,1,Aquatic Invertebrates,ARM 109 1.0,ARM,1,A1,Dr. K. N. M. Wijayathilaka,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,08:00,08:50,1,Aquatic Vegetation,ARM 108 1.0,ARM,1,A1,Dr. I. U. Kariyawasam,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,08:55,09:45,1,Ecology of Plankton & Benthos,ARM 107 1.0,ARM,1,A1,Dr. F. S. Idroos,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,13:00,15:00,NA,Practical,ARM P,ARM,1,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Monday,08:00,08:50,1,Inland Fisheries,ARM 206 1.0,ARM,2,M1,Prof. D. C. T. Dissanayake - Dr. F. S. Idroos,Lecture,1,0,1
Zoology,0,1,0,0,Monday,08:55,12:00,NA,Practical,ARM P,ARM,2,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Wednesday,13:00,15:00,2,Culture Methods of Finfish & Shellfish,ARM 205 2.0,ARM,2,A1,Dr. S. A. M. A. I. K. Senanayake,Lecture,1,0,1
Zoology,0,1,0,0,Friday,08:55,09:45,1,Fish Genetics,ARM 207 1.0,ARM,2,B3,Dr. K. V. K. Gunathilake,Lecture,1,0,1
Zoology,0,1,0,0,Monday,08:00,08:50,1,Integrated Watershed Management,ARM 311 1.0,ARM,3,A1,Dr. S. A. M. A. I. K. Senanayake,Lecture,1,1,1
Zoology,0,1,0,0,Monday,08:55,09:45,1,Ecophysiology,ARM 310 1.0,ARM,3,A1,Dr. F. S. Idroos,Lecture,1,1,1
Zoology,0,1,0,0,Monday,14:00,15:00,1,Aquatic Vertebrate Conservation,ARM 312 1.0,ARM,3,F2,Prof. W. A. D. Mahaulpatha,Lecture,1,1,1
Zoology,0,1,0,0,Tuesday,13:00,15:00,2,Nutrition,ARM 304 2.0,ARM,3,NFC3,Dr. K. V. K. Gunathilake,Lecture,1,1,1
Zoology,0,1,0,0,Thursday,10:15,12:00,2,Marine and Coastal Ecology,ARM 309 2.0,ARM,3,F2,Prof. R. R. M. K. P. Ranatunga,Lecture,1,1,1
Zoology,0,1,0,0,Friday,08:55,12:00,NA,Practical,ARM P,ARM,3,P,NA,Practicals,1,1,1
Zoology,0,1,0,0,Tuesday,13:00,14:00,1,Principles of Ecology,BIO 111 1.0,BIO,1,A1,Prof. R. R. M. K. P. Ranatunga,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,08:55,12:00,NA,Practical,BIO P,BIO,1,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Wednesday,13:00,15:00,2,Plant form and function,BIO 104 2.0 ,BIO,1,A1,Prof. W.T.P.S.K.Senarath,Lecture,1,0,1
Zoology,0,1,0,0,Wednesday,16:00,17:45,1,Biological statistics,BIO 110 1.0,BIO,1,NFC4,Dr. C. Wickramarachchi,Lecture,1,0,1
Zoology,0,1,0,0,Tuesday,08:55,12:00,NA,Practical,BIO P,BIO,2,P,NA,Practicals,1,0,1
Zoology,0,1,0,0,Tuesday,14:00,15:00,1,Entomology,BIO 212 1.0,BIO,2,A1,Dr. A. G. W. U. Perera,Lecture,1,0,1
Zoology,0,1,0,0,Thursday,08:55,09:45,1,Developmental Biology,BIO 211 1.0,BIO,2,A1,Prof. L. D. C. Peiris,Lecture,1,0,1
Zoology,0,1,0,0,Thursday,10:15,12:00,1,Environmental Science,BIO 209 1.0,BIO,2,A1,Snr. Prof. M. M. Pathmalal,Lecture,1,0,1
Zoology,0,1,0,0,Friday,10:15,12:00,2,Genetics and Molecular Biology,BIO 207 2.0,BIO,2,A1,Dr. H. S. D. Fernando,Lecture,1,0,1
Zoology,0,1,0,0,Friday,13:00,14:00,1,Host Microbial Interactions,BIO 210 1.0,BIO,2,NFC3,Ms. H.T. Mandakini,Lecture,1,0,1
Zoology,0,1,0,0,Monday,11:10,12:00,1,Microbial Ecology,BIO 354 1.0,BIO,3,A1,Snr. Prof. M. M. Pathmalal,Lecture,1,1,1
Zoology,0,1,0,0,Monday,15:00,16:00,1,Immunology,BIO 355 1.0,BIO,3,A1,Dr. K. V. K. Gunathilake,Lecture,1,1,1
Zoology,0,1,0,0,Tuesday,13:00,15:00,2,Nutrition,BIO 308 2.0,BIO,3,NFC3,Dr. K. V. K. Gunathilake,Lecture,1,1,1
Zoology,0,1,0,0,Tuesday,16:00,17:00,1,Bioinformatics,BIO 345 1.0,BIO,3,BLT,Dr. I. U. Kariyawasam,Lecture,1,1,1
Zoology,0,1,0,0,Thursday,10:15,11:05,1,Bioinformatics,BIO 345 1.0,BIO,3,BLT,Dr. I. U. Kariyawasam,Lecture,1,1,1
Zoology,0,1,0,0,Friday,08:55,12:00,NA,Practical,BIO P,BIO,3,P,NA,Practicals,1,1,1
Zoology,0,1,0,0,Friday,13:00,16:00,NA,Practical,BIO P,BIO,3,P,NA,Practicals,1,1,1
Zoology,0,1,0,0,Monday,08:00,09:45,1,Microbial enzymes in biotechnology ,BIO 428 1.0,BIO,4,SLH - Zoology,Dr. R. Wimalasekara,Lecture,0,1,1
Zoology,0,1,0,0,Monday,13:00,15:00,2,Advanced applied microbiology,BIO 429 2.0,BIO,4,SLH - Zoology,Dr. A. Ekanayaka,Lecture,0,1,1
Mathematics ,1,0,0,0,Monday ,13:00,14:00,1,Vector Calculus,MAT 123 1.0,MAT,1,S1,Mr. G. J. K. Silva,Lecture ,1,0,1
Mathematics ,1,0,0,0,Wednesday ,08:00,09:45,2,Linear Algebra I,MAT 121 2.0,MAT,1,S1,Dr. Menaka Liyanage,Lecture ,1,0,1
Mathematics ,1,0,0,0,Wednesday ,17:00,17:45,NA,Tutorial ,MAT T ,MAT,1,S1,NA ,Tutorial ,1,0,1
Mathematics ,1,0,0,0,Thursday ,10:15,12:00,2,Calculus,MAT 122 2.0 ,MAT,1,S1,Dr. R. N. P. De Silva,Lecture ,1,0,1
Mathematics ,1,0,0,0,Monday ,08:00,09:45,2,Partial Differential Equations,MAT 222 2.0,MAT,2,S1,Dr. P.G.T.Harshani,Lecture ,1,0,1
Mathematics ,1,0,0,0,Wednesday ,14:00,15:00,NA,Tutorial ,MAT T ,MAT,2,NFC4 ,NA ,Tutorial ,1,0,1
Mathematics ,1,0,0,0,Thursday ,08:00,09:45,2,Functions of Several Variables,MAT 221 2.0,MAT,2,S1,Dr. R. P. K. De Silva - Dr. Prabath Silva,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,08:00,08:50,1,Basics of Number Theory,MAT 223 1.0,MAT,2,S1,Dr. Jayantha Senadeera,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,08:55,09:45,NA ,Tutorial ,MAT T ,MAT,2,S1,NA ,Tutorial ,1,0,1
Mathematics ,1,0,0,0,Monday ,10:15,12:00,2,Differential Geometry,MAT 322 2.0,MAT,3,S1,Dr. Thanuja Paragoda,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,08:00,09:45,2,Abstract Algebra,MAT 321 2.0,MAT,3,S1,Dr. J. K. Rathnayake,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,13:00,15:00,1,Optimization,MAT 323 1.0,MAT,3,S1,Dr. N. C. Ganegoda,Lecture ,1,0,1
Mathematics ,1,0,0,0,Friday ,15:00,16:00,NA,Tutorial ,MAT T ,MAT,3,C1 ,NA ,Tutorial ,1,0,1
Mathematics ,1,0,0,0,Monday ,08:00,09:45,3,Graph Theory,MAT 353 3.0,MAT,3,M2,Dr. G. H. J. Lanel,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,08:55,12:00,2,Seminar and Report Writing,MAT 380 2.0,MAT,3,M1,Prof. K. B. M. Fonseka,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,13:00,16:00,3,Complex Variables,MAT 377 3.0,MAT,3,M1,Dr. B.V.N.C. Vidanage,Lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,08:00,09:45,3,Graph Theory,MAT 353 3.0,MAT,3,M2,Dr. G. H. J. Lanel,lecture ,0,1,1
Mathematics ,1,0,0,0,Wednesday ,10:15,12:00,2,Topology,MAT 382 2.0,MAT,3,M2,Mr. G. J. K. Silva,Lecture ,0,1,1
Mathematics ,1,0,0,0,Friday ,08:00,11:05,3,Ring Theory,MAT 375 3.0,MAT,3,M1,Dr. L. M. Liyanage,Lecture ,0,1,1
Mathematics ,1,0,0,0,Friday ,13:00,16:00,2,Seminar and Report Writing,MAT 380 2.0,MAT,3,M1,Prof. K. B. M. Fonseka,Lecture ,0,1,1
Mathematics ,1,0,0,0,Monday,10:15,12:00,3,Fields and Galois Theory,MAT 451 3.0,MAT,4,M2,Mr. K. K. W. A. Sarath Kumara,Lecture ,0,1,1
Mathematics ,1,0,0,0,Monday ,13:00,15:00,2,Differential Geometry and Manifolds,MAT 484 2.0,MAT,4,M1,Dr. Prabath Silva,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,10:15,12:00,2,Combinatorics,MAT 483 2.0,MAT,4,SRL - Mathematics,Dr. Jayantha Senadeera,Lecture ,0,1,1
Mathematics ,1,0,0,0,Tuesday ,13:00,15:00,3,Functional Analysis,MAT 476 3.0,MAT,4,SRL - Mathematics,Dr. Prabath Silva,Lecture ,0,1,1
