Department,Day,Time Slot,Total Number of Lectures
Forestry and Environmental Science,Tuesday,13:00-14:00,5
Forestry and Environmental Science,Tuesday,14:00-15:00,5
Forestry and Environmental Science,Tuesday,15:00-16:00,1
Forestry and Environmental Science,Tuesday,16:00-17:00,1
Forestry and Environmental Science,Wednesday,08:00-08:50,3
Forestry and Environmental Science,Wednesday,08:55-09:45,3
Forestry and Environmental Science,Wednesday,10:15-11:05,2
Forestry and Environmental Science,Wednesday,11:10-12:00,2
Forestry and Environmental Science,Wednesday,13:00-14:00,3
Forestry and Environmental Science,Wednesday,14:00-15:00,3
Forestry and Environmental Science,Wednesday,15:00-16:00,1
Forestry and Environmental Science,Wednesday,16:00-17:00,1
Genetics and Molecular Biology Unit,Friday,13:00-14:00,1
Genetics and Molecular Biology Unit,Friday,14:00-15:00,1
Genetics and Molecular Biology Unit,Monday,08:00-08:50,1
Genetics and Molecular Biology Unit,Monday,08:55-09:45,1
Genetics and Molecular Biology Unit,Monday,10:15-11:05,3
Genetics and Molecular Biology Unit,Monday,11:10-12:00,3
Genetics and Molecular Biology Unit,Monday,13:00-14:00,2
Genetics and Molecular Biology Unit,Monday,14:00-15:00,2
Genetics and Molecular Biology Unit,Monday,15:00-16:00,1
Genetics and Molecular Biology Unit,Saturday,08:55-09:45,1
Genetics and Molecular Biology Unit,Saturday,10:15-11:05,1
Genetics and Molecular Biology Unit,Thursday,08:00-08:50,1
Genetics and Molecular Biology Unit,Thursday,08:55-09:45,1
Genetics and Molecular Biology Unit,Thursday,13:00-14:00,1
Genetics and Molecular Biology Unit,Tuesday,10:15-11:05,2
Genetics and Molecular Biology Unit,Tuesday,11:10-12:00,2
Genetics and Molecular Biology Unit,Tuesday,13:00-14:00,1
Genetics and Molecular Biology Unit,Tuesday,14:00-15:00,1
Genetics and Molecular Biology Unit,Tuesday,15:00-16:00,1
Genetics and Molecular Biology Unit,Tuesday,16:00-17:00,1
Genetics and Molecular Biology Unit,Wednesday,08:00-08:50,2
Genetics and Molecular Biology Unit,Wednesday,08:55-09:45,2
Genetics and Molecular Biology Unit,Wednesday,10:15-11:05,1
Genetics and Molecular Biology Unit,Wednesday,11:10-12:00,1
Mathematics,Friday,08:00-08:50,4
Mathematics,Friday,08:55-09:45,2
Mathematics,Friday,10:15-11:05,5
Mathematics,Friday,11:10-12:00,3
Mathematics,Friday,13:00-14:00,2
Mathematics,Friday,14:00-15:00,2
Mathematics,Friday,15:00-16:00,1
Mathematics,Monday,08:00-08:50,2
Mathematics,Monday,08:55-09:45,2
Mathematics,Monday,10:15-11:05,4
Mathematics,Monday,11:10-12:00,4
Mathematics,Monday,13:00-14:00,3
Mathematics,Monday,14:00-15:00,2
Mathematics,Monday,16:00-17:00,1
Mathematics,Thursday,08:00-08:50,1
Mathematics,Thursday,08:55-09:45,2
Mathematics,Thursday,10:15-11:05,4
Mathematics,Thursday,11:10-12:00,4
Mathematics,Thursday,13:00-14:00,3
Mathematics,Thursday,14:00-15:00,3
Mathematics,Tuesday,08:55-09:45,1
Mathematics,Tuesday,10:15-11:05,5
Mathematics,Tuesday,11:10-12:00,5
Mathematics,Tuesday,13:00-14:00,3
Mathematics,Tuesday,14:00-15:00,3
Mathematics,Tuesday,15:00-16:00,1
Mathematics,Wednesday,08:00-08:50,4
Mathematics,Wednesday,08:55-09:45,4
Mathematics,Wednesday,10:15-11:05,3
Mathematics,Wednesday,11:10-12:00,3
Mathematics,Wednesday,13:00-14:00,3
Mathematics,Wednesday,14:00-15:00,2
Mathematics,Wednesday,15:00-16:00,1
Physics,Friday,08:00-08:50,1
Physics,Friday,08:55-09:45,2
Physics,Friday,10:15-11:05,2
Physics,Friday,11:10-12:00,2
Physics,Friday,13:00-14:00,1
Physics,Friday,14:00-15:00,1
Physics,Friday,15:00-16:00,1
Physics,Monday,08:00-08:50,1
Physics,Monday,08:55-09:45,1
Physics,Monday,13:00-14:00,1
Physics,Monday,14:00-15:00,2
Physics,Monday,15:00-16:00,2
Physics,Thursday,10:15-11:05,1
Physics,Thursday,11:10-12:00,1
Physics,Thursday,16:00-17:00,1
Physics,Tuesday,08:00-08:50,1
Physics,Tuesday,08:55-09:45,2
Physics,Tuesday,10:15-11:05,4
Physics,Tuesday,11:10-12:00,4
Physics,Tuesday,13:00-14:00,1
Physics,Tuesday,14:00-15:00,1
Physics,Tuesday,15:00-16:00,2
Physics,Tuesday,16:00-17:00,1
Physics,Wednesday,08:55-09:45,1
Physics,Wednesday,10:15-11:05,1
Physics,Wednesday,11:10-12:00,1
Physics,Wednesday,13:00-14:00,1
Physics,Wednesday,14:00-15:00,1
Physics,Wednesday,15:00-16:00,1
Physics,Wednesday,16:00-17:00,2
Polymer Science,Friday,10:15-11:05,1
Polymer Science,Friday,11:10-12:00,1
Polymer Science,Friday,13:00-14:00,1
Polymer Science,Monday,08:55-09:45,1
Polymer Science,Monday,10:15-11:05,2
Polymer Science,Monday,11:10-12:00,1
Polymer Science,Monday,13:00-14:00,1
Polymer Science,Monday,14:00-15:00,1
Polymer Science,Thursday,08:00-08:50,2
Polymer Science,Thursday,08:55-09:45,1
Polymer Science,Thursday,10:15-11:05,3
Polymer Science,Thursday,11:10-12:00,2
Polymer Science,Thursday,13:00-14:00,2
Polymer Science,Thursday,14:00-15:00,1
Polymer Science,Tuesday,08:55-09:45,2
Polymer Science,Tuesday,10:15-11:05,1
Polymer Science,Tuesday,11:10-12:00,1
Polymer Science,Tuesday,13:00-14:00,3
Polymer Science,Tuesday,14:00-15:00,2
Polymer Science,Tuesday,15:00-16:00,1
Polymer Science,Wednesday,08:00-08:50,1
Polymer Science,Wednesday,10:15-11:05,1
Polymer Science,Wednesday,11:10-12:00,1
Polymer Science,Wednesday,16:00-17:00,1
Sports Science,Friday,08:00-08:50,4
Sports Science,Friday,08:55-09:45,4
Sports Science,Friday,10:15-11:05,4
Sports Science,Friday,11:10-12:00,2
Sports Science,Friday,13:00-14:00,3
Sports Science,Friday,14:00-15:00,3
Sports Science,Friday,15:00-16:00,1
Sports Science,Friday,16:00-17:00,1
Sports Science,Monday,08:00-08:50,2
Sports Science,Monday,08:55-09:45,2
Sports Science,Monday,10:15-11:05,3
Sports Science,Monday,11:10-12:00,2
Sports Science,Monday,13:00-14:00,2
Sports Science,Monday,14:00-15:00,3
Sports Science,Monday,15:00-16:00,2
Sports Science,Monday,16:00-17:00,2
Sports Science,Saturday,08:00-08:50,1
