Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Forestry and Environmental Science,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Wood Based Composites,EMF 458 1.0,EMF,EMF 458 1.0 Wood Based Composites,4,SP - Forestry,Lecture,Prof. Hiran Amarasekera,10:15-12:00,Special,Biology
Forestry and Environmental Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Land Reclamation and Soil Remediation,EMF 472 1.0,EMF,EMF 472 1.0 Land Reclamation and Soil Remediation,4,SP - Forestry,Lecture,Dr. Daham Jayawardana,13:00-15:00,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Assignment on Forest Management Plan Preparation,EMF 454 2.0,EMF,EMF 454 2.0 Assignment on Forest Management Plan Preparation,4,SP - Forestry,Lecture,Prof. Upul Subasinghe,10:15-12:00,Special,Biology
Forestry and Environmental Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Energy and Environment,EMF 471 1.0,EMF,EMF 471 1.0 Energy and Environment,4,SP - Forestry,Lecture,Dr. Daham Jayawardana,13:00-15:00,Special,Biology
Forestry and Environmental Science,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Environmental Economics,ECN 104 2.0,ECN,ECN 104 2.0 Environmental Economics,1,BLT,Lecture,Prof. B W R Damayanthi / Dr. J M M Udugama,10:15-12:00,General,Physical
Forestry and Environmental Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Principles of Macroeconomics,ECN 103 3.0,ECN,ECN 103 3.0 Principles of Macroeconomics,1,F3,Lecture,Mr. Anura Jayasinghe,08:00-09:45,General,Physical
Forestry and Environmental Science,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Intermediate Macroeconomics,ECN 203 3.0,ECN,ECN 203 3.0 Intermediate Macroeconomics,2,F1,Lecture,Prof. B W R Damayanthi,10:15-12:00,General,Physical
Forestry and Environmental Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Intermediate Macroeconomics,ECN 203 3.1,ECN,ECN 203 3.1 Intermediate Macroeconomics,2,F2,Lecture,Prof. B W R Damayanthi,08:00-09:45,General,Physical
Forestry and Environmental Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Advanced Resource Economics,ECN 204 3.0,ECN,ECN 204 3.0 Advanced Resource Economics,2,F3,Lecture,Prof. U A D P Gunawardena,13:00-15:00,General,Physical
Forestry and Environmental Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T09:45:00Z,Advanced Resource Economics,ECN 303 2.0,ECN,ECN 303 2.0 Advanced Resource Economics,3,F1,Lecture,Ms. K D De S Jayasekara,08:00-09:45,General,Physical
